id,session_id,group_id,stage,event_type,target,payload_json,client_ts,created_at
o00054004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,4,agent.idle_trigger,stage-4,"{""stage"": 4}",2024-01-15T09:14:45+00:00,2024-01-15T09:14:45+00:00
o00054005-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,0,agent.idle_trigger,stage-0,"{""stage"": 0}",2024-01-15T09:15:55+00:00,2024-01-15T09:15:55+00:00
o00056000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,0,stage.submission_save,stage-0,"{""stage_key"": ""warmup"", ""is_completed"": true, ""completion_rate"": 0.5664}",2024-01-15T09:10:02+00:00,2024-01-15T09:10:02+00:00
o00056001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,1,stage.submission_save,stage-1,"{""stage_key"": ""observe"", ""is_completed"": true, ""completion_rate"": 0.7232}",2024-01-15T09:13:02+00:00,2024-01-15T09:13:02+00:00
o00056002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,2,stage.submission_save,stage-2,"{""stage_key"": ""predict"", ""is_completed"": true, ""completion_rate"": 0.6139}",2024-01-15T09:16:02+00:00,2024-01-15T09:16:02+00:00
o00056003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,3,stage.submission_save,stage-3,"{""stage_key"": ""test"", ""is_completed"": true, ""completion_rate"": 0.7094}",2024-01-15T09:19:02+00:00,2024-01-15T09:19:02+00:00
o00056004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,4,stage.submission_save,stage-4,"{""stage_key"": ""review"", ""is_completed"": true, ""completion_rate"": 0.9855}",2024-01-15T09:22:02+00:00,2024-01-15T09:22:02+00:00
o00060000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000006-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 1}",2024-01-15T09:12:11+00:00,2024-01-15T09:12:11+00:00
o00060001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000006-0000-4000-8000-000000000000,1,agent.help_click,help-button,"{""help_count"": 2}",2024-01-15T09:12:51+00:00,2024-01-15T09:12:51+00:00
o00060002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000006-0000-4000-8000-000000000000,2,agent.help_click,help-button,"{""help_count"": 3}",2024-01-15T09:13:31+00:00,2024-01-15T09:13:31+00:00
o00064000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000006-0000-4000-8000-000000000000,0,agent.idle_trigger,stage-0,"{""stage"": 0}",2024-01-15T09:12:05+00:00,2024-01-15T09:12:05+00:00
o00064001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000006-0000-4000-8000-000000000000,1,agent.idle_trigger,stage-1,"{""stage"": 1}",2024-01-15T09:13:15+00:00,2024-01-15T09:13:15+00:00
o00064002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000006-0000-4000-8000-000000000000,2,agent.idle_trigger,stage-2,"{""stage"": 2}",2024-01-15T09:14:25+00:00,2024-01-15T09:14:25+00:00
o00066000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000006-0000-4000-8000-000000000000,0,stage.submission_save,stage-0,"{""stage_key"": ""warmup"", ""is_completed"": true, ""completion_rate"": 0.6327}",2024-01-15T09:12:02+00:00,2024-01-15T09:12:02+00:00
o00066001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000006-0000-4000-8000-000000000000,1,stage.submission_save,stage-1,"{""stage_key"": ""observe"", ""is_completed"": true, ""completion_rate"": 0.6748}",2024-01-15T09:15:02+00:00,2024-01-15T09:15:02+00:00
o00066002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000006-0000-4000-8000-000000000000,2,stage.submission_save,stage-2,"{""stage_key"": ""predict"", ""is_completed"": true, ""completion_rate"": 0.8732}",2024-01-15T09:18:02+00:00,2024-01-15T09:18:02+00:00
o00066003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000006-0000-4000-8000-000000000000,3,stage.submission_save,stage-3,"{""stage_key"": ""test"", ""is_completed"": true, ""completion_rate"": 0.9627}",2024-01-15T09:21:02+00:00,2024-01-15T09:21:02+00:00
o00066004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000006-0000-4000-8000-000000000000,4,stage.submission_save,stage-4,"{""stage_key"": ""review"", ""is_completed"": true, ""completion_rate"": 0.7403}",2024-01-15T09:24:02+00:00,2024-01-15T09:24:02+00:00
o00070000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 1}",2024-01-15T09:14:11+00:00,2024-01-15T09:14:11+00:00
o00070001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,1,agent.help_click,help-button,"{""help_count"": 2}",2024-01-15T09:14:51+00:00,2024-01-15T09:14:51+00:00
o00070002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,2,agent.help_click,help-button,"{""help_count"": 3}",2024-01-15T09:15:31+00:00,2024-01-15T09:15:31+00:00
o00070003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,3,agent.help_click,help-button,"{""help_count"": 4}",2024-01-15T09:16:11+00:00,2024-01-15T09:16:11+00:00
o00072000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,0,quiz.wrong_answer,stage-0,"{""item"": 0, ""is_correct"": false}",2024-01-15T09:14:27+00:00,2024-01-15T09:14:27+00:00
o00074000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,0,agent.idle_trigger,stage-0,"{""stage"": 0}",2024-01-15T09:14:05+00:00,2024-01-15T09:14:05+00:00
o00074001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,1,agent.idle_trigger,stage-1,"{""stage"": 1}",2024-01-15T09:15:15+00:00,2024-01-15T09:15:15+00:00
o00074002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,2,agent.idle_trigger,stage-2,"{""stage"": 2}",2024-01-15T09:16:25+00:00,2024-01-15T09:16:25+00:00
o00074003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,3,agent.idle_trigger,stage-3,"{""stage"": 3}",2024-01-15T09:17:35+00:00,2024-01-15T09:17:35+00:00
o00074004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,4,agent.idle_trigger,stage-4,"{""stage"": 4}",2024-01-15T09:18:45+00:00,2024-01-15T09:18:45+00:00
o00074005-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,0,agent.idle_trigger,stage-0,"{""stage"": 0}",2024-01-15T09:19:55+00:00,2024-01-15T09:19:55+00:00
o00076000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,0,stage.submission_save,stage-0,"{""stage_key"": ""warmup"", ""is_completed"": true, ""completion_rate"": 0.9206}",2024-01-15T09:14:02+00:00,2024-01-15T09:14:02+00:00
o00076001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,1,stage.submission_save,stage-1,"{""stage_key"": ""observe"", ""is_completed"": true, ""completion_rate"": 0.7135}",2024-01-15T09:17:02+00:00,2024-01-15T09:17:02+00:00
o00076002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,2,stage.submission_save,stage-2,"{""stage_key"": ""predict"", ""is_completed"": true, ""completion_rate"": 0.77}",2024-01-15T09:20:02+00:00,2024-01-15T09:20:02+00:00
o00076003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,3,stage.submission_save,stage-3,"{""stage_key"": ""test"", ""is_completed"": true, ""completion_rate"": 0.8072}",2024-01-15T09:23:02+00:00,2024-01-15T09:23:02+00:00
o00076004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,4,stage.submission_save,stage-4,"{""stage_key"": ""review"", ""is_completed"": true, ""completion_rate"": 0.943}",2024-01-15T09:26:02+00:00,2024-01-15T09:26:02+00:00
o00080000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 1}",2024-01-15T09:16:11+00:00,2024-01-15T09:16:11+00:00
o00080001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,1,agent.help_click,help-button,"{""help_count"": 2}",2024-01-15T09:16:51+00:00,2024-01-15T09:16:51+00:00
o00080002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,2,agent.help_click,help-button,"{""help_count"": 3}",2024-01-15T09:17:31+00:00,2024-01-15T09:17:31+00:00
o00080003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,3,agent.help_click,help-button,"{""help_count"": 4}",2024-01-15T09:18:11+00:00,2024-01-15T09:18:11+00:00
o00080004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,4,agent.help_click,help-button,"{""help_count"": 5}",2024-01-15T09:18:51+00:00,2024-01-15T09:18:51+00:00
o00082000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,0,quiz.wrong_answer,stage-0,"{""item"": 0, ""is_correct"": false}",2024-01-15T09:16:27+00:00,2024-01-15T09:16:27+00:00
o00082001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,1,quiz.wrong_answer,stage-1,"{""item"": 1, ""is_correct"": false}",2024-01-15T09:18:02+00:00,2024-01-15T09:18:02+00:00
o00082002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,2,quiz.wrong_answer,stage-2,"{""item"": 2, ""is_correct"": false}",2024-01-15T09:19:37+00:00,2024-01-15T09:19:37+00:00
o00084000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,0,agent.idle_trigger,stage-0,"{""stage"": 0}",2024-01-15T09:16:05+00:00,2024-01-15T09:16:05+00:00
o00084001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,1,agent.idle_trigger,stage-1,"{""stage"": 1}",2024-01-15T09:17:15+00:00,2024-01-15T09:17:15+00:00
o00084002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,2,agent.idle_trigger,stage-2,"{""stage"": 2}",2024-01-15T09:18:25+00:00,2024-01-15T09:18:25+00:00
o00084003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,3,agent.idle_trigger,stage-3,"{""stage"": 3}",2024-01-15T09:19:35+00:00,2024-01-15T09:19:35+00:00
o00084004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,4,agent.idle_trigger,stage-4,"{""stage"": 4}",2024-01-15T09:20:45+00:00,2024-01-15T09:20:45+00:00
o00084005-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,0,agent.idle_trigger,stage-0,"{""stage"": 0}",2024-01-15T09:21:55+00:00,2024-01-15T09:21:55+00:00
o00084006-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,1,agent.idle_trigger,stage-1,"{""stage"": 1}",2024-01-15T09:23:05+00:00,2024-01-15T09:23:05+00:00
o00086000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,0,stage.submission_save,stage-0,"{""stage_key"": ""warmup"", ""is_completed"": true, ""completion_rate"": 0.6557}",2024-01-15T09:16:02+00:00,2024-01-15T09:16:02+00:00
o00086001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,1,stage.submission_save,stage-1,"{""stage_key"": ""observe"", ""is_completed"": true, ""completion_rate"": 0.7124}",2024-01-15T09:19:02+00:00,2024-01-15T09:19:02+00:00
o00086002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,2,stage.submission_save,stage-2,"{""stage_key"": ""predict"", ""is_completed"": true, ""completion_rate"": 0.5535}",2024-01-15T09:22:02+00:00,2024-01-15T09:22:02+00:00
o00086003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,3,stage.submission_save,stage-3,"{""stage_key"": ""test"", ""is_completed"": true, ""completion_rate"": 0.9968}",2024-01-15T09:25:02+00:00,2024-01-15T09:25:02+00:00
o00086004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000008-0000-4000-8000-000000000000,4,stage.submission_save,stage-4,"{""stage_key"": ""review"", ""is_completed"": true, ""completion_rate"": 0.6121}",2024-01-15T09:28:02+00:00,2024-01-15T09:28:02+00:00
